district,superset_district_iso,geojson_geometry
Kitgum,UG-305,"{""type"":""Polygon"",""coordinates"":[[[33.44734297700012,3.744372051000056],[33.49064782700009,3.749746399000102],[33.52771634883044,3.771430572562849],[33.52935428227431,3.766902166801572],[33.56470096167999,3.655358587928504],[33.62991662005595,3.563167833129],[33.65544477655516,3.512344062328623],[33.67456505663205,3.457515366740779],[33.71528608638374,3.409611314210792],[33.74339806526848,3.353128974022923],[33.73481977671133,3.340623276842734],[33.72841190028896,3.327445786993451],[33.73471642392383,3.299488836840339],[33.71135867686144,3.272642930726647],[33.68138634600302,3.251429755578727],[33.65151736793217,3.250241197173523],[33.622888625109965,3.263160305503675],[33.58671512160555,3.270007432397051],[33.550024855062986,3.268741360525382],[33.52697716636311,3.265459906149715],[33.50485965275078,3.267268582179327],[33.488323195059365,3.280730291969405],[33.47054650211936,3.291091417235123],[33.38931115088889,3.299488836840339],[33.41669966026109,3.260059719180674],[33.35148400188518,3.262359319826714],[33.360048270011646,3.195982466717453],[33.31272667779393,3.191976020277082],[33.27293582492837,3.178152574381784],[33.21431407043798,3.18802332991271],[33.19049230557545,3.111204483600034],[33.15541176074413,3.017656365848609],[33.12762169778313,3.064774481956761],[33.095940504850375,3.091648392059653],[33.06451389470044,3.132502985524354],[32.98900484439804,3.17332349198557],[32.93147457818924,3.179642900299598],[32.92813365344534,3.108594177079624],[32.891667538426134,3.129360324419451],[32.837923617680815,3.16399323170225],[32.80040652793889,3.169238389040402],[32.782836540573896,3.179935411090355],[32.778295908529344,3.236909768570968],[32.778295908529344,3.277837070424425],[32.75783225715293,3.31876437227794],[32.75783225715293,3.365538431153652],[32.7695257720967,3.391848839552267],[32.86599726925857,3.397695596574522],[32.90400119260096,3.406465733007167],[32.927388222488446,3.424006004973137],[32.927388222488446,3.444469656349554],[32.93908173743222,3.467856686237042],[33.10863770186842,3.467856686237042],[33.12325459532332,3.482473579691941],[33.13494811026703,3.523400881545456],[33.15541176074413,3.535094396489171],[33.181722169142745,3.535094396489171],[33.22557285040671,3.485396958203069],[33.22557285040671,3.432776141405782],[33.281117045715064,3.429852762894654],[33.28404042422619,3.561404803988523],[33.27234690928242,3.6169490001962],[33.248959879394874,3.649106165617013],[33.24311312237268,3.681263331037883],[33.25188325880532,3.710497117947625],[33.263688243837755,3.753670389787187],[33.28652591900004,3.752536926000076],[33.44734297700012,3.744372051000056]]]}"
Koboko,UG-316,"{""type"":""Polygon"",""coordinates"":[[[30.98578780100013,3.69212717700006],[30.995968058000074,3.693522440000038],[31.00955896000005,3.699775289000044],[31.040358114000128,3.724218242000077],[31.049659871000074,3.727990621000103],[31.068676798000126,3.731737162000115],[31.051728674238916,3.664365186704003],[31.037108125939255,3.532780252906321],[31.048804564578973,3.424588195488809],[31.05374311695124,3.312976385951458],[31.01250532416134,3.340235704114434],[31.000102979768656,3.332432562812528],[30.98749393070034,3.320366116103344],[30.95628136639192,3.335223089873693],[30.93002973768222,3.359433499456429],[30.904932931000076,3.386035094000121],[30.910030152000047,3.393411560000089],[30.916334676000133,3.414805603000104],[30.91447432400014,3.426484477000074],[30.90444909700011,3.447465108000074],[30.902898804000074,3.458911438000086],[30.909616740000104,3.487178447000076],[30.909306681000146,3.496144307000108],[30.89638757300014,3.519967143000073],[30.88016117400008,3.514411927000069],[30.86124759900008,3.498211365000074],[30.83954349800007,3.490201518000092],[30.84378096600011,3.505911153000056],[30.865691773000094,3.548957621000056],[30.931734253000116,3.645101624000077],[30.93628177900007,3.656858012000072],[30.939382365000085,3.668407695000013],[30.944446655000093,3.679285583000066],[30.955505412000093,3.689000753000101],[30.96599572700012,3.692618103000086],[30.98578780100013,3.69212717700006]]]}"
Kole,UG-326,"{""type"":""Polygon"",""coordinates"":[[[32.776015252102184,2.447241116184557],[32.81105187404472,2.474862169553489],[32.795836180495314,2.418363731501017],[32.77537253001822,2.38035980815863],[32.760755635664054,2.342355884816243],[32.78414266555154,2.310198719395373],[32.80939822764606,2.256632595517885],[32.827691685422906,2.227021999865372],[32.821283807201894,2.208418483726007],[32.81280887233157,2.106745102804268],[32.7695257720967,2.120179103582757],[32.7490621216196,2.137719375548727],[32.711058198277215,2.140642754059854],[32.6905945469008,2.158183026925144],[32.67305427493483,2.178646677402241],[32.5999698076605,2.178646677402241],[32.549731005381545,2.180344297950967],[32.561764764432326,2.204904486253042],[32.579644810159834,2.227564602224618],[32.603002557222226,2.245780543837043],[32.5817118668092,2.363654486565281],[32.621296014099755,2.37466156697775],[32.6904390810987,2.463415839569336],[32.73260704897609,2.461503810752276],[32.776015252102184,2.447241116184557]]]}"
Kotido,UG-306,"{""type"":""Polygon"",""coordinates"":[[[33.55504440487539,3.195721684008504],[33.550024855062986,3.268741360525382],[33.58671512160555,3.270007432397051],[33.622888625109965,3.263160305503675],[33.65151736793217,3.250241197173523],[33.68138634600302,3.251429755578727],[33.71135867686144,3.272642930726647],[33.73471642392383,3.299488836840339],[33.72841190028896,3.327445786993451],[33.73481977671133,3.340623276842734],[33.74339806526848,3.353128974022923],[33.79507449679056,3.315405177806724],[33.845820754124475,3.290187078770657],[33.87496626178353,3.302692775950845],[33.90349165181823,3.296517441726564],[33.91331017382544,3.273650621079298],[33.906178826991265,3.243678290220885],[34.03619672989515,3.239363307970279],[34.15763634604053,3.197066147984344],[34.27731896299974,3.110378932941387],[34.3284786305843,3.082912909203401],[34.386252882864255,3.081672674854076],[34.33612674315464,2.996044827007154],[34.27452843593852,2.917780869991134],[34.25809533103467,2.877292385135434],[34.251687452813655,2.832773138869243],[34.226055942627625,2.724536850994866],[34.14440718024713,2.751822008478882],[34.10068891785926,2.748049627688147],[34.01131523091317,2.75613274233217],[33.9633210726094,2.722536831609489],[33.95062055799235,2.61689484322244],[33.871452264310506,2.659424547205106],[33.847371046836315,2.668545437222122],[33.84075646304029,2.832411404562663],[33.84240575672027,2.93287838273119],[33.71590620310877,2.994442857451872],[33.704744093964734,3.028988552080023],[33.6705342952215,3.053922431175238],[33.67849246615435,3.087589625760586],[33.67869654930627,3.178442193852163],[33.63776924745281,3.175518815341036],[33.60853546054307,3.190135708795935],[33.55504440487539,3.195721684008504]]]}"
Kumi,UG-208,"{""type"":""Polygon"",""coordinates"":[[[34.23453087659868,1.626516018199652],[34.22967329288815,1.555719305701359],[34.14689872769412,1.532576969651416],[34.08611803821685,1.520999694780073],[34.042703260147334,1.494950828118192],[34.048491896683686,1.431275819923144],[34.01954871130397,1.411015589797614],[33.99928848117844,1.39364967838992],[33.99928848117844,1.353129219038237],[34.002182799896275,1.295242848278804],[33.961662340544535,1.272088299435438],[33.92664269420493,1.246177476009677],[33.907729119703106,1.261008612257626],[33.879927199180884,1.265297756086568],[33.853572218583,1.272739163081894],[33.83434858571866,1.290309150446944],[33.81677859925293,1.310876370448113],[33.789183384305716,1.313563543822454],[33.78221458993136,1.387861041853569],[33.80536913877472,1.416804227233285],[33.84299527940857,1.431275819923144],[33.84878391684424,1.494950828118192],[33.84010096069079,1.590463340410793],[33.86036119081626,1.625195163226181],[33.89584354014721,1.638453273699611],[33.94483279829501,1.623286241566802],[33.99464887874274,1.635791937847671],[34.042191196066824,1.642329006378532],[34.21168989437308,1.631270250021998],[34.2248157082783,1.630443426822694],[34.23453087659868,1.626516018199652]]]}"
Kween,UG-228,"{""type"":""Polygon"",""coordinates"":[[[34.502834914399784,1.591841132362333],[34.52970665893514,1.584167182269653],[34.54334923677783,1.577681790582176],[34.55451134592187,1.569258530756599],[34.572391391649376,1.568328354769733],[34.590478142951895,1.569465237230929],[34.637275385450664,1.540856558283508],[34.68122195782706,1.513990587395654],[34.74220014831815,1.419448554207406],[34.72721398333863,1.368986517713608],[34.69527794771909,1.328084621707887],[34.67584760927974,1.31852448211913],[34.65476362534099,1.315268866165241],[34.62820193916815,1.304881903377122],[34.60370730964462,1.289068915198243],[34.570427686888195,1.248554591920879],[34.54841352696269,1.200392156972441],[34.54631468827222,1.274982618153274],[34.569469237115584,1.332868988912708],[34.56657491839775,1.37338944916371],[34.53184309558236,1.396543997107756],[34.46816808738731,1.41390990851545],[34.43317508256399,1.445622666752683],[34.45281212657835,1.487118841960978],[34.42139285669498,1.528330797228477],[34.37767459520637,1.557217922469135],[34.43317508256399,1.555331732973116],[34.502834914399784,1.591841132362333]]]}"
Kyankwanzi,UG-123,"{""type"":""Polygon"",""coordinates"":[[[31.822275017677896,1.357075099736051],[31.89593945324316,1.285142320461716],[31.93285417887722,1.221380522293259],[31.95298948327803,1.10392457815675],[31.87471878854126,1.085728307415422],[31.843337796502112,1.054347316275596],[31.831569924712255,1.007275828216905],[31.80018893267311,0.979817460407446],[31.757040068844105,0.956281716827732],[31.71781382924479,0.920978100558898],[31.674664965415786,0.866061364940037],[31.639361350046272,0.866061364940037],[31.5830131374463,0.845168361930348],[31.43811241965244,0.861498114046697],[31.438215773339266,0.893847560816255],[31.427260369770238,0.926197008485133],[31.442970005161612,0.945368964506088],[31.468188104197623,0.961750393465877],[31.476663039068,0.975134588890171],[31.49299279118435,0.978183499269051],[31.50880578026255,0.985624905365057],[31.51903771341972,1.000869451863707],[31.52131147564404,1.027379462092483],[31.50343143081585,1.047584946887753],[31.448344353708933,1.095075588267775],[31.407416620180868,1.155537013922071],[31.37992475802116,1.166802475853558],[31.35015913273776,1.174864000473235],[31.319256625892535,1.192175605419834],[31.290524530282823,1.21351797087766],[31.317706333180695,1.235118720552521],[31.35150271987459,1.245350652810373],[31.408760207317698,1.27418610300623],[31.437802362189245,1.285451564937773],[31.51376671676053,1.361312568520191],[31.670553013210963,1.341262112456491],[31.716234978561374,1.328291327282898],[31.76088341603679,1.323588772303992],[31.783000928749857,1.347747504143967],[31.802224561614196,1.353871161524864],[31.822275017677896,1.357075099736051]]]}"
Kyegegwa,UG-421,"{""type"":""Polygon"",""coordinates"":[[[31.008784621113364,0.206706040951019],[31.000723097393006,0.202313544334572],[30.93010367004831,0.189213920486054],[30.852787191076004,0.18577763253171],[30.861377910961778,0.242476383778069],[30.873404918801953,0.25793967957253],[30.909485942322362,0.264812255481218],[30.919794806185337,0.283711839229966],[30.91464037425385,0.312920286841745],[30.902613366413732,0.338692446499181],[30.918076662208193,0.359310174225129],[30.919794806185337,0.398827485699883],[30.90776779834522,0.412572637517201],[30.883713782664927,0.414290781494344],[30.88543192664207,0.462398812854929],[30.919794806185337,0.464116956832072],[30.919794806185337,0.555178587621697],[30.93010367004831,0.568923739439015],[30.952439541751403,0.572360027393358],[30.952439541751403,0.632495066594061],[30.935258101979798,0.641085786479834],[30.902613366413732,0.658267226251496],[30.890586358573557,0.678884953977445],[30.911204086299506,0.684039385908932],[30.937264439102535,0.697838853180542],[30.991956853226156,0.687475673863275],[31.036628596632397,0.680603097954588],[31.084736627093662,0.66857609011447],[31.129397414059383,0.647247626376839],[31.156579216957255,0.643681952060433],[31.179213495406486,0.631537990985464],[31.197817009747155,0.633036606853921],[31.21435346923721,0.622391262546728],[31.23998497942324,0.597844957079076],[31.253524203579104,0.566632391871394],[31.250216912580413,0.55112946205503],[31.243395624108757,0.536194973019576],[31.244119093621237,0.523947659157159],[31.230063103729208,0.51640290027359],[31.159886508855266,0.504362291086863],[31.137768996142256,0.485086982278403],[31.128880650121857,0.45206574104111],[31.10965701725752,0.417804267253132],[31.110690545132513,0.379305325580276],[31.120199008777206,0.362045396577798],[31.126400181423207,0.344837144418648],[31.11565148342919,0.33217641850689],[31.10180219911217,0.320187486163547],[31.080511508699146,0.289284980217644],[31.05498335130062,0.261224677277028],[31.026457961265862,0.238332017308721],[31.008784621113364,0.206706040951019]]]}"
Kyenjojo,UG-415,"{""type"":""Polygon"",""coordinates"":[[[30.456260207242735,0.56807933179573],[30.41357547362918,0.599395249790916],[30.39817589660032,0.615001532394785],[30.396935663150316,0.640271308274237],[30.413265415266665,0.660786851432022],[30.42876834508303,0.67541128210496],[30.434866164042205,0.705693671325832],[30.440653923739546,0.761969305938692],[30.462874790139438,0.77716217739254],[30.482615186941302,0.806100979476639],[30.49512088412149,0.839742336539587],[30.48984988836162,0.845736802711258],[30.48581912605181,0.853023180075695],[30.501528762342502,0.881651922897902],[30.521785923081893,0.906921697878033],[30.545350375719238,0.929504299483824],[30.6324768412332,0.890385240186674],[30.727354771205682,0.867027493124283],[30.771899854994274,0.845375068404678],[30.81892540928021,0.835659898285655],[30.857889438946415,0.801760158804257],[30.9077055193942,0.735459295709916],[30.920107862887562,0.71298004779095],[30.937264439102535,0.697838853180542],[30.911204086299506,0.684039385908932],[30.890586358573557,0.678884953977445],[30.902613366413732,0.658267226251496],[30.935258101979798,0.641085786479834],[30.952439541751403,0.632495066594061],[30.952439541751403,0.572360027393358],[30.93010367004831,0.568923739439015],[30.919794806185337,0.555178587621697],[30.919794806185337,0.464116956832072],[30.88543192664207,0.462398812854929],[30.883713782664927,0.414290781494344],[30.862728609038072,0.412878639037956],[30.8338876073272,0.402263773654226],[30.809833591646907,0.410854493540057],[30.780625144035128,0.419445213425831],[30.75313484040055,0.409136349562857],[30.718771960857282,0.395391197745596],[30.67925464938253,0.355873886270842],[30.631146618022,0.32494729468192],[30.576166010752786,0.300893279001627],[30.55039385109535,0.297456991047284],[30.538529087247582,0.323598130849064],[30.535841912973865,0.361787014159347],[30.523956333418027,0.397133694464401],[30.523749626943697,0.430826728370789],[30.49197695587179,0.445217373083267],[30.47651366007733,0.469271388763559],[30.464486652237213,0.512224988192656],[30.428148228358054,0.541207587260317],[30.442204217350707,0.563118394398373],[30.456260207242735,0.56807933179573]]]}"
Lamwo,UG-327,"{""type"":""Polygon"",""coordinates"":[[[32.99724125100005,3.885526225000106],[33.017240031000085,3.877180481000039],[33.1434855550001,3.774085999000121],[33.164466186000084,3.76305308000012],[33.19542036900009,3.757058614000101],[33.263688243837755,3.753670389787187],[33.25188325880532,3.710497117947625],[33.24311312237268,3.681263331037883],[33.248959879394874,3.649106165617013],[33.27234690928242,3.6169490001962],[33.28404042422619,3.561404803988523],[33.281117045715064,3.429852762894654],[33.22557285040671,3.432776141405782],[33.22557285040671,3.485396958203069],[33.181722169142745,3.535094396489171],[33.15541176074413,3.535094396489171],[33.13494811026703,3.523400881545456],[33.12325459532332,3.482473579691941],[33.10863770186842,3.467856686237042],[32.93908173743222,3.467856686237042],[32.927388222488446,3.444469656349554],[32.927388222488446,3.424006004973137],[32.90400119260096,3.406465733007167],[32.86599726925857,3.397695596574522],[32.7695257720967,3.391848839552267],[32.75783225715293,3.365538431153652],[32.75783225715293,3.31876437227794],[32.778295908529344,3.277837070424425],[32.778295908529344,3.236909768570968],[32.782836540573896,3.179935411090355],[32.73558204137811,3.170214917884152],[32.680061696989696,3.13669320033091],[32.51515262219573,3.135803738451784],[32.50946821528589,3.157895412743073],[32.386168247166836,3.265847479777335],[32.357444535936565,3.286692430211474],[32.320229120177714,3.313699856363257],[32.2686560396445,3.373902900498422],[32.25656375541297,3.406148993581155],[32.21687625533491,3.446069036756626],[32.2112952003132,3.466145331242046],[32.200753207894195,3.48257843704522],[32.196102328859354,3.50128530507277],[32.17592855775672,3.527233818186176],[32.1789966230001,3.541361185000085],[32.179203328000085,3.556864115000096],[32.1748625080001,3.592650045000127],[32.175947713000085,3.605594991000132],[32.18778161600011,3.619160054000119],[32.371801391000076,3.731065369000135],[32.41557133000009,3.74129730300011],[32.59928104700009,3.756283468000092],[32.75642907700012,3.769021708000054],[32.8403516030001,3.794291484000027],[32.91889978100005,3.834159851000052],[32.97956791200005,3.879195862000088],[32.99724125100005,3.885526225000106]]]}"
Lira,UG-307,"{""type"":""Polygon"",""coordinates"":[[[32.81105187404472,2.474862169553489],[32.82293745270124,2.515970771134164],[32.77529178169033,2.578602607124594],[32.806297642222376,2.60185700139948],[32.82221398318876,2.63772044474274],[32.83523644430642,2.638056342426239],[32.846605259025466,2.622630926975717],[32.86551883262803,2.613794256899439],[32.88939334542653,2.611107083525098],[32.90820356624158,2.59916982712582],[32.934661899626974,2.590333157049542],[32.94820112468216,2.540672105333385],[32.96814822795835,2.53845001905313],[32.98251427621284,2.52416148516437],[33.01465701740739,2.533230699237379],[33.012166204706546,2.506065092230187],[32.9975493112517,2.473907926809375],[32.96539214493151,2.453444275432958],[32.96539214493151,2.424210488523215],[32.93908173743222,2.394976701613473],[32.89523105616831,2.377436429647503],[32.88938429914606,2.354049399759958],[32.9332349795107,2.354049399759958],[32.96831552434196,2.342355884816243],[32.9829324177968,2.307275339984926],[33.02093634113919,2.278041553075184],[33.05894026358226,2.257577902598143],[33.079403914958675,2.222497357766827],[33.08586714015638,2.066282457269551],[33.06364627465581,2.033674628081599],[33.03346723822244,2.025225530733621],[32.998844028329245,2.043234768569675],[32.965461052785315,2.064835517345216],[32.92856408066774,2.071656805816929],[32.8880497582897,2.074705715296489],[32.867585890176656,2.082431342232667],[32.84567508303866,2.081242783827406],[32.82810509567361,2.091681423458908],[32.81280887233157,2.106745102804268],[32.821283807201894,2.208418483726007],[32.827691685422906,2.227021999865372],[32.80939822764606,2.256632595517885],[32.78414266555154,2.310198719395373],[32.760755635664054,2.342355884816243],[32.77537253001822,2.38035980815863],[32.795836180495314,2.418363731501017],[32.81105187404472,2.474862169553489]]]}"
Luuka,UG-229,"{""type"":""Polygon"",""coordinates"":[[[33.221259393406285,0.671845607788555],[33.21898563028259,0.701404527496948],[33.22994103385162,0.747241523377568],[33.23748579273513,0.763467921807148],[33.25030154827783,0.772873033563656],[33.264254185382356,0.780882880440572],[33.27655317608816,0.799383042893112],[33.280583936599385,0.822327378805483],[33.28761193244469,0.83193919523768],[33.29112592991771,0.843721422006013],[33.28554487489606,0.858759263828972],[33.287715285232196,0.873435370445975],[33.29401980976638,0.88992015219327],[33.29712039608938,0.907386785871438],[33.29722374887689,0.943715318107422],[33.30053103987558,0.979527086405881],[33.31572391132943,1.004280097448543],[33.328022902035286,1.029343166853664],[33.32233849512545,1.043605862320703],[33.320891555201115,1.057041733689061],[33.338771600029304,1.079262600088896],[33.359028761668014,1.067997138157409],[33.37360151459819,1.049341946073923],[33.382696567992184,1.033373928264155],[33.3933419131987,1.018284410497131],[33.409154901377576,0.985159817371652],[33.39220503073756,0.916275132791156],[33.39840620338356,0.884442449959067],[33.42734500456828,0.87141998884141],[33.43779068229412,0.814785968097965],[33.42331908960426,0.768476871310554],[33.42042477088643,0.727956411059495],[33.455156593701815,0.699013225679835],[33.51304296446119,0.667175721582282],[33.51304296446119,0.6150779873592],[33.517055290669134,0.547512111794504],[33.49896854026588,0.525497951868999],[33.47013309096934,0.545238349570184],[33.437266880262314,0.547305406219493],[33.408948194903246,0.559035956144442],[33.404090610293395,0.576967677816072],[33.39716596903423,0.59464101796857],[33.37484174984684,0.607766831873789],[33.36719363817582,0.615518297231631],[33.358615349618674,0.622546292177617],[33.33432742656947,0.638100897938102],[33.307972445971586,0.648797919088679],[33.2728145243708,0.678752995554305],[33.221259393406285,0.671845607788555]]]}"
Luweero,UG-104,"{""type"":""Polygon"",""coordinates"":[[[32.67493408014366,1.144567667264027],[32.702392447953116,1.117109299454569],[32.7261991716544,1.075180161834965],[32.780252719987004,1.081226304850077],[32.77632531136402,0.962680569452687],[32.79265506437969,0.845271714717853],[32.78869017561112,0.752305269472572],[32.77299967959152,0.654239670024765],[32.75338655934223,0.587555062616048],[32.67018191856067,0.556452135557606],[32.62449995321026,0.556142076295771],[32.579851514835525,0.571438300537125],[32.54161095558112,0.543119615178114],[32.5041972186267,0.552886461241201],[32.45489790211644,0.55247304919186],[32.3604333841933,0.563273424029262],[32.345343866426276,0.556348781870781],[32.33035769964812,0.546116847814289],[32.334905225895454,0.585339259898888],[32.3538188012966,0.621151028197403],[32.36901167185118,0.636912340432161],[32.38740848241554,0.649676418232104],[32.41076622857855,0.654172268535376],[32.43505415162775,0.655257473253755],[32.454794549328994,0.653345445336015],[32.46585330568547,0.663835760911638],[32.4768087092545,0.682594305782573],[32.48983117037221,0.698200588386442],[32.485800408961666,0.714943752552131],[32.472571242269,0.725899156121159],[32.46399295371185,0.742849025861858],[32.463112385228385,0.866061364940037],[32.41211827383927,0.944513844138612],[32.40035040204941,1.007275828216905],[32.406011996756206,1.090424709232934],[32.46874718643346,1.016837470572796],[32.55969770688364,0.976271471351311],[32.62393996875454,0.968049588617589],[32.6200173445248,1.019043700006762],[32.62786259208491,1.081805684085055],[32.63989953023912,1.13579661712015],[32.67493408014366,1.144567667264027]]]}"
Lwengo,UG-124,"{""type"":""Polygon"",""coordinates"":[[[31.278225538677646,-0.260862318641102],[31.333984695337392,-0.293488201719128],[31.41671837735123,-0.307319431246754],[31.438525831701725,-0.30995492867703],[31.460539991627286,-0.314915866973706],[31.5166605966092,-0.313675631725062],[31.585183546883172,-0.303133640205317],[31.604388776021153,-0.296334560491573],[31.607235134793598,-0.262178255222295],[31.72108948479189,-0.262178255222295],[31.69547225583989,-0.287795484174239],[31.69547225583989,-0.33618358240642],[31.661315951469987,-0.356108093813475],[31.618620569883376,-0.378878963993031],[31.612927852338487,-0.401649834172531],[31.630006004973154,-0.435806138542489],[31.62146692865582,-0.469962443811767],[31.59869605847632,-0.495579672763711],[31.564539754106363,-0.512657824499001],[31.526630599522548,-0.514554684451127],[31.50476621988514,-0.535428694678501],[31.496227143567808,-0.586663152582446],[31.459224480425405,-0.603741305217056],[31.412584263153178,-0.586940606024143],[31.34537013042717,-0.561045923630502],[31.27990387866106,-0.515504183271446],[31.236987745887745,-0.464105726797868],[31.222976704111602,-0.421574344680266],[31.234362139201323,-0.376032605220587],[31.25144029183599,-0.330490864861531],[31.260862257786926,-0.279517510724531],[31.267476840683628,-0.26835540068123],[31.278225538677646,-0.260862318641102]]]}"
Lyantonde,UG-116,"{""type"":""Polygon"",""coordinates"":[[[31.113274366618725,-0.02743987405097],[31.136735467367885,-0.031935722555545],[31.190478957337973,-0.0496090627081],[31.19368289644848,-0.067127374129029],[31.246599562319943,-0.092500501896666],[31.259518669750776,-0.057877292003411],[31.28773400232234,-0.075964044205307],[31.309024692735363,-0.100406995986077],[31.304787224850543,-0.128105563720794],[31.309644810359714,-0.142574964762844],[31.310988396597224,-0.157561129742362],[31.307164340761688,-0.184691256696169],[31.29682905391769,-0.20861744453947],[31.28928429503418,-0.236264337229386],[31.278225538677646,-0.260862318641102],[31.267476840683628,-0.26835540068123],[31.260862257786926,-0.279517510724531],[31.25144029183599,-0.330490864861531],[31.234362139201323,-0.376032605220587],[31.222976704111602,-0.421574344680266],[31.236987745887745,-0.464105726797868],[31.22866942165649,-0.52404325958878],[31.18597404006988,-0.532582335906113],[31.134776844675628,-0.528415373071027],[31.147897577411243,-0.492682793676011],[31.139629347216555,-0.456199232708457],[31.120819126401557,-0.423798109994777],[31.092810500304324,-0.344113050576823],[31.07503380736432,-0.311040134294785],[31.065525343719628,-0.276261894770641],[31.064388462157808,-0.210736178931541],[31.084232211747178,-0.127537122939884],[31.077617628850476,-0.044441419735733],[31.099528435988532,-0.036638278433827],[31.113274366618725,-0.02743987405097]]]}"
Manafwa,UG-221,"{""type"":""Polygon"",""coordinates"":[[[34.463346175433365,0.999992276520293],[34.46304325400013,0.978080953000131],[34.45715214100011,0.95761708600007],[34.431210571000065,0.893538310000068],[34.40237512200014,0.856072896000086],[34.38800907400014,0.815816955000045],[34.37085249800015,0.800210673],[34.30667037000012,0.768067932000065],[34.298402140000064,0.759282938000084],[34.29625187562357,0.746745807173227],[34.2958191263516,0.746931464115789],[34.229569940100646,0.775353502262305],[34.16373416499971,0.828063463458079],[34.19422325979559,0.856640530336222],[34.20414513459025,0.900565497399782],[34.21231001199743,0.922631334168727],[34.2248157082783,0.942630113388987],[34.260369094158364,0.959683335917191],[34.25964562374651,0.978183499269051],[34.26357303236955,0.999164130420297],[34.32958251422161,1.000034167842557],[34.32958251422161,0.986375442672511],[34.34714373319673,0.986375442672511],[34.34909497964958,1.007839153654004],[34.44080356563205,1.007839153654004],[34.463346175433365,0.999992276520293]]]}"
Maracha,UG-320,"{""type"":""Polygon"",""coordinates"":[[[30.763415783000085,3.12343695000007],[30.804196818000094,3.246004537000132],[30.82212854000005,3.281402893000063],[30.82574589000012,3.283676656000083],[30.837786499000117,3.286415507000115],[30.842437377000067,3.288740946000061],[30.845641317000116,3.293908589000054],[30.84688155100008,3.304398906000102],[30.848690226000144,3.309256490000038],[30.86848230000004,3.343337097000088],[30.89731774900008,3.375014750000091],[30.904932931000076,3.386035094000121],[30.93002973768222,3.359433499456429],[30.95628136639192,3.335223089873693],[30.98749393070034,3.320366116103344],[31.000102979768656,3.332432562812528],[31.01250532416134,3.340235704114434],[31.05374311695124,3.312976385951458],[31.027952459138646,3.26605015638961],[31.020935706617536,3.214593975131834],[30.992868698331733,3.184188049638749],[30.95076818680235,3.156121041352947],[30.915767043114556,3.117226059834763],[30.80765994644935,3.12203196939987],[30.763415783000085,3.12343695000007]]]}"
Masaka,UG-105,"{""type"":""Polygon"",""coordinates"":[[[31.896689081336035,-0.773905938008625],[31.859895461106646,-0.771270439679085],[31.828269483849567,-0.763363945589617],[31.809872674184533,-0.75550912744427],[31.772975702066958,-0.742331637594987],[31.751891717228943,-0.731944674806925],[31.728533970166552,-0.703677667190618],[31.707656690903548,-0.657582288891547],[31.690190057225323,-0.637583509671231],[31.67644412569581,-0.612107029116089],[31.67799441930697,-0.586475518030738],[31.684815707778682,-0.579912611078157],[31.688743117300987,-0.572367852194645],[31.68088829915564,-0.546374606802658],[31.689673293287854,-0.520278008623222],[31.660217726366966,-0.477024835128077],[31.62146692865582,-0.469962443811767],[31.630006004973154,-0.435806138542489],[31.612927852338487,-0.401649834172531],[31.618620569883376,-0.378878963993031],[31.661315951469987,-0.356108093813475],[31.69547225583989,-0.33618358240642],[31.69547225583989,-0.287795484174239],[31.72108948479189,-0.262178255222295],[31.8918710102389,-0.26502461399474],[31.934566390926193,-0.24225374381524],[31.974513787880994,-0.230424899789284],[31.97947472527835,-0.240398450528062],[31.984332309888146,-0.244222507262918],[31.99022342327237,-0.244532565625434],[31.99869835814269,-0.244067477631972],[32.0062431170262,-0.246702975961568],[32.00872358572491,-0.253162530126701],[32.0097571135999,-0.260913994585167],[32.01265099524721,-0.267631931168694],[32.020815870855756,-0.278742363469291],[32.02949751220041,-0.294503675704107],[32.03590538862278,-0.311401868601365],[32.06525760275616,-0.323700860206543],[32.06784142424232,-0.350004163960989],[32.05202843606344,-0.37108814879906],[32.02836062973927,-0.384265638648287],[32.007276645800516,-0.397391452553506],[31.9861926609625,-0.413204440732386],[31.9861926609625,-0.773905938008625],[31.896689081336035,-0.773905938008625]]]}"
